Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,gene_set
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),11/288,1.1395949009896204e-08,8.911632125738833e-06,0,0,12.003165787281311,219.53799701085023,TOP2A;DUT;NT5E;RRM1;LIG1;CBS;CDK1;MCM3;MCM4;MCM6;TYMS,GO_Biological_Process_2023
Reactome_2022,Glucagon Signaling In Metabolic Regulation R-HSA-163359,3/32,0.00024159525821412903,0.0037619833064771,0,0,28.193197921587156,234.79990807993084,GNG2;PRKCA;GNG12,Reactome_2022
Reactome_2022,Activation Of ATR In Response To Replication Stress R-HSA-176187,3/36,0.00034400476885845566,0.0048382606200737,0,0,24.770859277708592,197.5440118996446,MCM3;MCM4;MCM6,Reactome_2022
GO_Cellular_Component_2023,Cytoskeleton (GO:0005856),8/599,0.0019463154623398,0.0180034180266433,0,0,3.84851199362994,24.021708357277525,CNN2;TUBB6;MVP;ARHGDIB;FLNB;NEFM;PDLIM5;PDLIM4,GO_Cellular_Component_2023
GO_Biological_Process_2023,Glucan Metabolic Process (GO:0044042),2/8,0.0003931424461075261,0.0204958261904056,0,0,89.72072072072072,703.5305464332449,GBE1;PYGL,GO_Biological_Process_2023
Reactome_2022,Presynaptic Function Of Kainate Receptors R-HSA-500657,2/21,0.0028557317273821,0.0239442121757429,0,0,28.31436699857753,165.87765697979108,GNG2;GNG12,Reactome_2022
KEGG_2021_Human,Regulation of actin cytoskeleton,5/218,0.0014490600777235,0.0241435065377118,0,0,6.516894796006083,42.59989958841792,ITGB1;ITGA2;ITGA1;PXN;GNG12,KEGG_2021_Human
Reactome_2022,Axon Guidance R-HSA-422475,7/519,0.003553345021611,0.0270733873977845,0,0,3.8463541666666665,21.69292154825963,RET;ITGB1;ITGA2;ITGA1;PRKCA;NRCAM;LAMC1,Reactome_2022
GO_Biological_Process_2023,L-serine Metabolic Process (GO:0006563),2/10,0.000628730143298291,0.0306866970149046,0,0,67.28378378378379,496.00316371132106,CBS;PSAT1,GO_Biological_Process_2023
Reactome_2022,Muscle Contraction R-HSA-397014,4/196,0.0066265237418783,0.035668695697024,0,0,5.7094907407407405,28.642659089440727,ANXA2;ASPH;ITGA1;PRKCA,Reactome_2022
KEGG_2021_Human,GABAergic synapse,3/89,0.0047375909147309,0.0361677250583079,0,0,9.479770627588405,50.7378797405052,GNG2;PRKCA;GNG12,KEGG_2021_Human
KEGG_2021_Human,Glutamatergic synapse,3/114,0.0093764788006697,0.0453196475365705,0,0,7.335431321732692,34.253170523185986,GNG2;PRKCA;GNG12,KEGG_2021_Human
KEGG_2021_Human,Serotonergic synapse,3/113,0.0091543758685033,0.0453196475365705,0,0,7.402490660024907,34.74376222074018,GNG2;PRKCA;GNG12,KEGG_2021_Human
KEGG_2021_Human,Cholinergic synapse,3/113,0.0091543758685033,0.0453196475365705,0,0,7.402490660024907,34.74376222074018,GNG2;PRKCA;GNG12,KEGG_2021_Human
